"Final Fantasy Card Name","Original MTG Name","Card Image","Card Set","Card Number","Print Variant","Available Variants","Treatment / Frame","Game Number","Rarity","Type Line","Color Identity","Owned","Non-Foil Qty","Foil Qty","Special Foil Qty","Total Quantity Owned","Condition","Price (USD)","Price (Foil)","Storage Location"
"Estinien Varlineau","","=IMAGE(""https://cards.scryfall.io/normal/front/4/2/421df8fe-e812-4bf2-9aae-b7b47627a884.jpg?1783906314"", 1)","FIC","0171","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF14","Rare","Legendary Creature — Elf Warrior","BW","No",0,0,0,0,"Near Mint (NM)",0.39,2.4,""
"Estinien Varlineau // Estinien Varlineau","","=IMAGE(""https://cards.scryfall.io/normal/front/2/7/27b1b42f-da36-4e93-badd-cd761d837926.jpg?1783906411"", 1)","AFIN","0028","Basic/Non-foil","Non-Foil, Traditional Foil","Art Card","FF14","Common","Card // Card","Colorless","No",0,0,0,0,"Near Mint (NM)","","",""
"Ether","","=IMAGE(""https://cards.scryfall.io/normal/front/8/9/896ee6e9-15a9-4974-b576-50f4759fac38.jpg?1783906637"", 1)","FIN","0053","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF7","Uncommon","Artifact","U","No",0,0,0,0,"Near Mint (NM)",0.19,0.27,""
"Everflowing Chalice","","=IMAGE(""https://cards.scryfall.io/normal/front/5/d/5d659b0c-dc93-464f-847f-2af075caf145.jpg?1783906240"", 1)","FIC","0343","Surge Foil","Surge Foil","Standard","FF10","Uncommon","Artifact","Colorless","No",0,0,0,0,"Near Mint (NM)",0.37,"",""
"Evil Reawakened","","=IMAGE(""https://cards.scryfall.io/normal/front/e/b/eb98cbc3-749c-44f4-974c-00be1286d69e.jpg?1783906621"", 1)","FIN","0098","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF5","Uncommon","Sorcery","B","No",0,0,0,0,"Near Mint (NM)",0.17,0.31,""
"Evolving Wilds","","=IMAGE(""https://cards.scryfall.io/normal/front/3/5/351f791c-4bee-4fce-aee4-d0214ca0c945.jpg?1783906223"", 1)","FIC","0389","Surge Foil","Surge Foil","Standard","FF10","Common","Land","Colorless","No",0,0,0,0,"Near Mint (NM)",0.32,"",""
"Excalibur II","","=IMAGE(""https://cards.scryfall.io/normal/front/d/4/d42e5fed-67ac-46d7-a5d4-78f661f3e8b4.jpg?1783906559"", 1)","FIN","0257","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF9","Rare","Legendary Artifact — Equipment","Colorless","No",0,0,0,0,"Near Mint (NM)",0.65,1.19,""
"Excalibur II","","=IMAGE(""https://cards.scryfall.io/normal/front/7/3/73c66867-8c4a-45dc-bbfd-53777bdc6c0a.jpg?1783906150"", 1)","PFIN","257s","Promo","Traditional Foil, Promo","Standard","FF9","Rare","Legendary Artifact — Equipment","Colorless","No",0,0,0,0,"Near Mint (NM)","",5.61,""
"Excalibur II","","=IMAGE(""https://cards.scryfall.io/normal/front/b/e/becf759b-e3bc-4281-a1e1-1da9f36247ef.jpg?1783906522"", 1)","FIN","0352","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF9","Rare","Legendary Artifact — Equipment","Colorless","No",0,0,0,0,"Near Mint (NM)",1.86,2.75,""
"Exdeath, Void Warlock // Neo Exdeath, Dimension's End","","=IMAGE(""https://cards.scryfall.io/normal/front/1/b/1b4bab87-4000-461d-8b58-d34928fee305.jpg?1783906576"", 1)","FIN","0220","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF5","Uncommon","Legendary Creature — Spirit Warlock // Legendary Creature — Spirit Avatar","BG","No",0,0,0,0,"Near Mint (NM)",0.25,0.27,""
"Exdeath, Void Warlock // Neo Exdeath, Dimension's End","","=IMAGE(""https://cards.scryfall.io/normal/front/d/f/df51bf51-839a-4b4d-a6c2-431c9ebff875.jpg?1783906470"", 1)","FIN","0485","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF5","Uncommon","Legendary Creature — Spirit Warlock // Legendary Creature — Spirit Avatar","BG","No",0,0,0,0,"Near Mint (NM)",1.6,12.38,""
"Exotic Orchard","","=IMAGE(""https://cards.scryfall.io/normal/front/4/7/47c2b572-b54a-444c-8d74-b005e94d751f.jpg?1783906222"", 1)","FIC","0390","Surge Foil","Surge Foil","Standard","FF10","Rare","Land","Colorless","No",0,0,0,0,"Near Mint (NM)",0.36,"",""
"Explorer's Scope","","=IMAGE(""https://cards.scryfall.io/normal/front/b/c/bc50f65f-1866-4fa6-b318-1d981845723b.jpg?1783906242"", 1)","FIC","0344","Surge Foil","Surge Foil","Standard","FF7","Common","Artifact — Equipment","Colorless","No",0,0,0,0,"Near Mint (NM)",0.26,"",""
"Exsanguinate","","=IMAGE(""https://cards.scryfall.io/normal/front/3/3/333c8e71-fe90-408c-aabd-c5b7d83d0f03.jpg?1783906272"", 1)","FIC","0276","Surge Foil","Surge Foil","Standard","FF14","Uncommon","Sorcery","B","No",0,0,0,0,"Near Mint (NM)",0.41,"",""
"Eye of Nidhogg","","=IMAGE(""https://cards.scryfall.io/normal/front/1/8/186862e7-91ba-47e9-bc38-e8e20772d40c.jpg?1783906359"", 1)","FIC","0044","Surge Foil","Surge Foil","Standard","FF14","Rare","Legendary Enchantment — Aura","B","No",0,0,0,0,"Near Mint (NM)",1.3,"",""
"Eye of Nidhogg","","=IMAGE(""https://cards.scryfall.io/normal/front/a/3/a34f241d-4420-4549-b702-b224027ebee7.jpg?1783906335"", 1)","FIC","0115","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF14","Rare","Legendary Enchantment — Aura","B","No",0,0,0,0,"Near Mint (NM)",4.61,7.05,""
"Fandaniel, Telophoroi Ascian","","=IMAGE(""https://cards.scryfall.io/normal/front/0/8/08c9bf6c-fc52-4565-96d1-951a314e59e5.jpg?1783906359"", 1)","FIC","0046","Surge Foil","Surge Foil","Standard","FF14","Rare","Legendary Creature — Elder Wizard","B","No",0,0,0,0,"Near Mint (NM)",0.36,"",""
"Fandaniel, Telophoroi Ascian","","=IMAGE(""https://cards.scryfall.io/normal/front/f/e/fede6d1c-461e-456f-8cdb-7acac69d30ae.jpg?1783906324"", 1)","FIC","0146","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF14","Rare","Legendary Creature — Elder Wizard","B","No",0,0,0,0,"Near Mint (NM)",1.88,7.71,""
"Fang, Fearless l'Cie","","=IMAGE(""https://cards.scryfall.io/normal/front/f/7/f73a5cbb-905f-4b99-8d23-9d1b6bd47ee8.jpg?1783906620"", 1)","FIN","0099","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF13","Uncommon","Legendary Creature — Human Warrior","B","No",0,0,0,0,"Near Mint (NM)",0.27,0.3,""
"Fang, Fearless l'Cie","","=IMAGE(""https://cards.scryfall.io/normal/front/d/c/dca1a706-9eee-4d75-80ee-fa12257908e3.jpg?1783906510"", 1)","FIN","0381","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF13","Uncommon","Legendary Creature — Human Warrior","B","No",0,0,0,0,"Near Mint (NM)",2.0,0.53,""
"Fang, Fearless l'Cie","","=IMAGE(""https://cards.scryfall.io/normal/front/b/8/b82f08c2-3944-437d-9af6-f1e9088e02bb.jpg?1783906482"", 1)","FIN","0446","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF13","Uncommon","Legendary Creature — Human Warrior","B","No",0,0,0,0,"Near Mint (NM)",1.37,15.34,""
"Fang, Fearless l'Cie","","=IMAGE(""https://cards.scryfall.io/normal/front/a/8/a8bfc03f-227c-4a5d-b172-067ea5860bf9.jpg?1783906447"", 1)","FIN","0526","Surge Foil","Surge Foil","Borderless","FF13","Uncommon","Legendary Creature — Human Warrior","B","No",0,0,0,0,"Near Mint (NM)","",5.4,""
"Farewell","","=IMAGE(""https://cards.scryfall.io/normal/front/4/d/4d8b6418-da30-4c68-b87c-3936eb77620c.jpg?1783906289"", 1)","FIC","0242","Surge Foil","Surge Foil","Standard","FF10","Rare","Sorcery","W","No",0,0,0,0,"Near Mint (NM)",5.68,"",""
"Farewell // Farewell","","=IMAGE(""https://cards.scryfall.io/normal/front/8/2/82209aac-42e2-4cc6-a9f8-abc9c8f14789.jpg?1783906411"", 1)","AFIN","0031","Basic/Non-foil","Non-Foil, Traditional Foil","Art Card","FF10","Common","Card // Card","Colorless","No",0,0,0,0,"Near Mint (NM)","","",""
"Newfound Adventure","Farseek","=IMAGE(""https://cards.scryfall.io/normal/front/f/3/f36f237f-6b44-4513-ba5d-fe6b4936f78e.jpg?1783906380"", 1)","FCA","0045","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF14","Uncommon","Sorcery","G","No",0,0,0,0,"Near Mint (NM)",1.0,4.41,""
"Farseek","","=IMAGE(""https://cards.scryfall.io/normal/front/f/9/f9b52ee8-3cde-4082-8a6c-0a82caa3505d.jpg?1783906262"", 1)","FIC","0302","Surge Foil","Surge Foil","Standard","FF10","Common","Sorcery","G","No",0,0,0,0,"Near Mint (NM)",0.62,"",""
"Battle at the Big Bridge","Fatal Push","=IMAGE(""https://cards.scryfall.io/normal/front/2/4/2430f223-edb2-402b-a85b-5d328323992d.jpg?1783906394"", 1)","FCA","0009","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF5","Uncommon","Instant","B","No",0,0,0,0,"Near Mint (NM)",0.59,2.15,""
"Fated Clash","","=IMAGE(""https://cards.scryfall.io/normal/front/b/d/bd84f688-a2bb-4f1e-ae24-1a5cf8a05445.jpg?1783904654"", 1)","FIC","0449","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF8","Rare","Sorcery","W","No",0,0,0,0,"Near Mint (NM)",8.21,6.97,""
"Fated Clash // Fated Clash","","=IMAGE(""https://cards.scryfall.io/normal/front/1/3/1370d8b5-bd31-4943-885e-ae6211990561.jpg?1783904670"", 1)","AFIC","0008","Basic/Non-foil","Non-Foil, Traditional Foil","Art Card","FF8","Common","Card // Card","Colorless","No",0,0,0,0,"Near Mint (NM)","","",""
"Fate of the Sun-Cryst","","=IMAGE(""https://cards.scryfall.io/normal/front/9/0/900cdf11-b42e-4dcc-97c3-2e4d8e406a70.jpg?1783906650"", 1)","FIN","0019","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF12","Common","Instant","W","No",0,0,0,0,"Near Mint (NM)",0.12,0.18,""
"Fathom Mage","","=IMAGE(""https://cards.scryfall.io/normal/front/4/b/4bb9c7e1-46a6-4acf-8415-221d9c9d9d23.jpg?1783906248"", 1)","FIC","0325","Surge Foil","Surge Foil","Standard","FF10","Rare","Creature — Human Wizard","GU","No",0,0,0,0,"Near Mint (NM)",0.32,"",""
"Fetid Heath","","=IMAGE(""https://cards.scryfall.io/normal/front/5/2/5277f73d-b964-4ce6-823d-ce0fbf0a2d28.jpg?1783906225"", 1)","FIC","0391","Surge Foil","Surge Foil","Standard","FF6","Rare","Land","BW","No",0,0,0,0,"Near Mint (NM)",0.39,"",""
"Fight On!","","=IMAGE(""https://cards.scryfall.io/normal/front/e/1/e1b0739a-dcc4-4034-96d7-69e551b2f36b.jpg?1783906618"", 1)","FIN","0100","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF7","Common","Instant","B","No",0,0,0,0,"Near Mint (NM)",0.2,0.25,""
"Fight Rigging","","=IMAGE(""https://cards.scryfall.io/normal/front/e/d/ed314c9c-ce86-4782-981f-7956ceca564c.jpg?1783906259"", 1)","FIC","0303","Surge Foil","Surge Foil","Standard","FF10","Rare","Enchantment","G","No",0,0,0,0,"Near Mint (NM)",0.35,"",""
"Final Judgment","","=IMAGE(""https://cards.scryfall.io/normal/front/4/3/438a7db0-8005-46ac-8dd1-e7e364fd2ba7.jpg?1783906289"", 1)","FIC","0243","Surge Foil","Surge Foil","Standard","FF14","Mythic","Sorcery","W","No",0,0,0,0,"Near Mint (NM)",0.32,"",""
"Fire-Lit Thicket","","=IMAGE(""https://cards.scryfall.io/normal/front/b/c/bcab849e-336d-490f-8dd2-0936fba2afbe.jpg?1783906222"", 1)","FIC","0392","Surge Foil","Surge Foil","Standard","FF7","Rare","Land","GR","No",0,0,0,0,"Near Mint (NM)",0.95,"",""
"Fire Magic","","=IMAGE(""https://cards.scryfall.io/normal/front/4/1/415ff6a5-61ef-4b37-ae08-e44476300d4a.jpg?1783906604"", 1)","FIN","0136","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF9","Uncommon","Instant","R","No",0,0,0,0,"Near Mint (NM)",0.74,1.1,""
"Firion, Wild Rose Warrior","","=IMAGE(""https://cards.scryfall.io/normal/front/9/8/98366937-d15b-4a66-b9f6-878d50b63871.jpg?1783906604"", 1)","FIN","0137","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF2","Rare","Legendary Creature — Human Rebel Warrior","R","No",0,0,0,0,"Near Mint (NM)",0.83,1.11,""
"Firion, Wild Rose Warrior","","=IMAGE(""https://cards.scryfall.io/normal/front/6/5/65290ee9-0fbe-49d5-af48-cfbcde82277f.jpg?1783906177"", 1)","PFIN","137s","Promo","Traditional Foil, Promo","Standard","FF2","Rare","Legendary Creature — Human Rebel Warrior","R","No",0,0,0,0,"Near Mint (NM)","",4.61,""
"Firion, Wild Rose Warrior","","=IMAGE(""https://cards.scryfall.io/normal/front/8/f/8f1cb5a5-2f52-4a9d-a4fe-9603116b7ad5.jpg?1783906507"", 1)","FIN","0386","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF2","Rare","Legendary Creature — Human Rebel Warrior","R","No",0,0,0,0,"Near Mint (NM)",2.85,3.41,""
"Firion, Wild Rose Warrior","","=IMAGE(""https://cards.scryfall.io/normal/front/7/0/70def31c-e328-4f1f-a165-a43f94401c65.jpg?1783906477"", 1)","FIN","0459","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF2","Rare","Legendary Creature — Human Rebel Warrior","R","No",0,0,0,0,"Near Mint (NM)",1.73,10.6,""
"Firion, Wild Rose Warrior","","=IMAGE(""https://cards.scryfall.io/normal/front/6/6/6687a6e8-f674-4db8-81eb-5ad28b7890f7.jpg?1783906445"", 1)","FIN","0531","Surge Foil","Surge Foil","Borderless","FF2","Rare","Legendary Creature — Human Rebel Warrior","R","No",0,0,0,0,"Near Mint (NM)","",20.14,""
"Fishing Gear","","=IMAGE(""https://cards.scryfall.io/normal/front/b/2/b2a1b5b3-8d7a-4614-b7f9-d13db5654d03.jpg?1783904650"", 1)","FIC","0461","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF15","Rare","Artifact — Equipment","Colorless","No",0,0,0,0,"Near Mint (NM)",11.8,6.71,""
"Fishing Gear // Fishing Gear","","=IMAGE(""https://cards.scryfall.io/normal/front/5/9/59811a52-0db6-4f88-b24c-d16fe73b1937.jpg?1783904661"", 1)","AFIC","0020","Basic/Non-foil","Non-Foil, Traditional Foil","Art Card","FF15","Common","Card // Card","Colorless","No",0,0,0,0,"Near Mint (NM)","","",""
"Flash Photography","","=IMAGE(""https://cards.scryfall.io/normal/front/2/b/2bca2cd2-4d4a-44e4-87c3-732692b77921.jpg?1783904649"", 1)","FIC","0463","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF15","Rare","Sorcery","U","No",0,0,0,0,"Near Mint (NM)",46.74,47.49,""
"Flash Photography // Flash Photography","","=IMAGE(""https://cards.scryfall.io/normal/front/1/3/138d2fa9-0b31-4eed-820e-9933c733c3c7.jpg?1783904661"", 1)","AFIC","0022","Basic/Non-foil","Non-Foil, Traditional Foil","Art Card","FF15","Common","Card // Card","Colorless","No",0,0,0,0,"Near Mint (NM)","","",""
"Flayer of the Hatebound","","=IMAGE(""https://cards.scryfall.io/normal/front/f/e/fe233fa7-bc38-45f5-bfe5-da93877f1075.jpg?1783906265"", 1)","FIC","0293","Surge Foil","Surge Foil","Standard","FF6","Rare","Creature — Devil","R","No",0,0,0,0,"Near Mint (NM)",0.23,"",""
"Flooded Grove","","=IMAGE(""https://cards.scryfall.io/normal/front/7/b/7b280a73-9246-4da4-8fc1-a5683edd8aab.jpg?1783906222"", 1)","FIC","0393","Surge Foil","Surge Foil","Standard","FF10","Rare","Land","GU","No",0,0,0,0,"Near Mint (NM)",0.34,"",""
"Food","","=IMAGE(""https://cards.scryfall.io/normal/front/4/8/4853f6f5-476d-4109-a1c6-f98f4d332db3.jpg?1783906130"", 1)","TFIN","0022","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF15","Common","Token Artifact — Food","Colorless","No",0,0,0,0,"Near Mint (NM)","","",""
"魔女の予見","Force of Negation","=IMAGE(""https://cards.scryfall.io/normal/front/b/c/bc5376cb-82f6-43c7-bf8b-43515791e082.jpg?1783906138"", 1)","RFIN","J1","Promo","Non-Foil, Promo","Borderless","FF8","Rare","Instant","U","No",0,0,0,0,"Near Mint (NM)",1501.81,"",""
"Foreboding Ruins","","=IMAGE(""https://cards.scryfall.io/normal/front/a/7/a7659f3f-a26a-4097-88ea-d72c3abb5e1d.jpg?1783906220"", 1)","FIC","0394","Surge Foil","Surge Foil","Standard","FF6","Rare","Land","BR","No",0,0,0,0,"Near Mint (NM)",0.3,"",""
"Forest","","=IMAGE(""https://cards.scryfall.io/normal/front/0/a/0a45560e-ce25-45a5-aa43-aa33d1964cd8.jpg?1783904642"", 1)","FIC","0482","Wave Foil","Wave Foil","Standard","FF9","Common","Basic Land — Forest","G","No",0,0,0,0,"Near Mint (NM)","",5.08,""
"Forest","","=IMAGE(""https://cards.scryfall.io/normal/front/b/e/be72862d-d71e-4b18-98a6-59019399f631.jpg?1783906539"", 1)","FIN","0306","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF9","Common","Basic Land — Forest","G","No",0,0,0,0,"Near Mint (NM)",0.36,0.57,""
"Forest","","=IMAGE(""https://cards.scryfall.io/normal/front/3/d/3d08f6a6-316d-45d8-aabe-1760a20903ac.jpg?1783906539"", 1)","FIN","0307","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF3","Common","Basic Land — Forest","G","No",0,0,0,0,"Near Mint (NM)",0.28,0.31,""
"Forest","","=IMAGE(""https://cards.scryfall.io/normal/front/c/5/c52038c8-5bba-4d8e-845f-30af44300acc.jpg?1783906539"", 1)","FIN","0308","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF11","Common","Basic Land — Forest","G","No",0,0,0,0,"Near Mint (NM)",0.22,0.4,""
"Forest","","=IMAGE(""https://cards.scryfall.io/normal/front/2/0/2036f825-ef57-4a40-b45f-0668d9c8ec6a.jpg?1783906431"", 1)","FIN","0576","Surge Foil","Surge Foil","Showcase","FF3","Common","Basic Land — Forest","G","No",0,0,0,0,"Near Mint (NM)","",1.76,""
"Foretell","","=IMAGE(""https://cards.scryfall.io/normal/front/2/0/207b3d62-2541-4a51-8152-3c54218ab6f7.jpg?1783906140"", 1)","TFIC","0010","Surge Foil","Surge Foil","Standard","FF7","Common","Card","Colorless","No",0,0,0,0,"Near Mint (NM)","","",""
"Forge of Heroes","","=IMAGE(""https://cards.scryfall.io/normal/front/7/a/7ac60dfc-040e-4cc1-a967-3c915770fc8e.jpg?1783906220"", 1)","FIC","0395","Surge Foil","Surge Foil","Standard","FF10","Common","Land","Colorless","No",0,0,0,0,"Near Mint (NM)",0.24,"",""
"Forgotten Ancient","","=IMAGE(""https://cards.scryfall.io/normal/front/d/e/de0f3be6-4e5b-4186-af49-fe3dadadcd01.jpg?1783906259"", 1)","FIC","0304","Surge Foil","Surge Foil","Standard","FF10","Rare","Creature — Elemental","G","No",0,0,0,0,"Near Mint (NM)",0.36,"",""
"Fortified Village","","=IMAGE(""https://cards.scryfall.io/normal/front/1/0/1028b210-db71-4bbd-8bd7-59dc4032f426.jpg?1783906219"", 1)","FIC","0396","Surge Foil","Surge Foil","Standard","FF7","Rare","Land","GW","No",0,0,0,0,"Near Mint (NM)",0.3,"",""
"Freya Crescent","","=IMAGE(""https://cards.scryfall.io/normal/front/9/9/9921f646-e893-44db-ac89-0633c1009788.jpg?1783906604"", 1)","FIN","0138","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF9","Uncommon","Legendary Creature — Rat Knight","R","No",0,0,0,0,"Near Mint (NM)",0.26,0.32,""
"Freya Crescent","","=IMAGE(""https://cards.scryfall.io/normal/front/e/5/e5aa0b07-9ebb-46d7-a80f-2e644dbd9d36.jpg?1783906476"", 1)","FIN","0460","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF9","Uncommon","Legendary Creature — Rat Knight","R","No",0,0,0,0,"Near Mint (NM)",2.98,22.21,""
"Frog","","=IMAGE(""https://cards.scryfall.io/normal/front/e/3/e3c84944-23b8-40d7-9b25-c746b08b4dc4.jpg?1783906132"", 1)","TFIN","0018","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF9","Common","Token Creature — Frog","G","No",0,0,0,0,"Near Mint (NM)","","",""
"From Father to Son","","=IMAGE(""https://cards.scryfall.io/normal/front/0/c/0c730a3b-334e-466b-bb9b-4b41fce2af6d.jpg?1783906649"", 1)","FIN","0020","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF15","Rare","Sorcery","W","No",0,0,0,0,"Near Mint (NM)",0.25,0.48,""
"From Father to Son","","=IMAGE(""https://cards.scryfall.io/normal/front/1/5/157ca197-0e72-4f9c-9c65-d696232bc6f4.jpg?1783906198"", 1)","PFIN","20s","Promo","Traditional Foil, Promo","Standard","FF15","Rare","Sorcery","W","No",0,0,0,0,"Near Mint (NM)","",3.56,""
"Furious Rise","","=IMAGE(""https://cards.scryfall.io/normal/front/a/8/a886ed1a-d6a4-46d2-8b97-ee4a533773fb.jpg?1783906272"", 1)","FIC","0294","Surge Foil","Surge Foil","Standard","FF7","Uncommon","Enchantment","R","No",0,0,0,0,"Near Mint (NM)",0.2,"",""
"Furycalm Snarl","","=IMAGE(""https://cards.scryfall.io/normal/front/6/7/67e44005-d0a5-49d2-b2f7-4b991ffbb5ce.jpg?1783906218"", 1)","FIC","0397","Surge Foil","Surge Foil","Standard","FF7","Rare","Land","RW","No",0,0,0,0,"Near Mint (NM)",0.31,"",""
"Vayne Carudas Solidor","Fynn, the Fangbearer","=IMAGE(""https://cards.scryfall.io/normal/front/e/9/e983925b-de9c-4a09-8bff-913301aff269.jpg?1783906381"", 1)","FCA","0046","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF12","Uncommon","Legendary Creature — Human Warrior","G","No",0,0,0,0,"Near Mint (NM)",0.36,0.42,""
"Gaelicat","","=IMAGE(""https://cards.scryfall.io/normal/front/2/9/29606c49-e1a4-49c3-883b-9122c08bbbc7.jpg?1783906648"", 1)","FIN","0022","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF5","Common","Creature — Cat","W","No",0,0,0,0,"Near Mint (NM)",0.06,0.2,""
"Gaius van Baelsar","","=IMAGE(""https://cards.scryfall.io/normal/front/a/4/a4ee8ba5-6a79-4652-b2a4-a3dae804bc28.jpg?1783906618"", 1)","FIN","0102","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF14","Uncommon","Legendary Creature — Human Soldier","B","No",0,0,0,0,"Near Mint (NM)",0.27,0.29,""
"Gaius van Baelsar","","=IMAGE(""https://cards.scryfall.io/normal/front/4/2/42605473-e37d-46b3-8979-31cc6b21bc3c.jpg?1783906482"", 1)","FIN","0447","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF14","Uncommon","Legendary Creature — Human Soldier","B","No",0,0,0,0,"Near Mint (NM)",1.73,19.67,""
"Galuf's Final Act","","=IMAGE(""https://cards.scryfall.io/normal/front/0/c/0ce05634-6c01-4941-a135-904cb4e33ac4.jpg?1783906586"", 1)","FIN","0186","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF5","Uncommon","Instant","G","No",0,0,0,0,"Near Mint (NM)",0.16,0.28,""
"Game Trail","","=IMAGE(""https://cards.scryfall.io/normal/front/4/d/4d62258f-135b-44ca-a27d-3c2267f408a5.jpg?1783906217"", 1)","FIC","0398","Surge Foil","Surge Foil","Standard","FF7","Rare","Land","GR","No",0,0,0,0,"Near Mint (NM)",0.26,"",""
"Garland, Knight of Cornelia // Chaos, the Endless","","=IMAGE(""https://cards.scryfall.io/normal/front/d/d/dd463dbe-5f2c-4d4f-86f8-ad8ff407af62.jpg?1783906577"", 1)","FIN","0221","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF1","Uncommon","Legendary Creature — Human Knight // Legendary Creature — Demon","BR","No",0,0,0,0,"Near Mint (NM)",0.2,0.3,""
"Garland, Knight of Cornelia // Chaos, the Endless","","=IMAGE(""https://cards.scryfall.io/normal/front/8/e/8e6e21d2-e282-4f56-8e6b-929176b264b3.jpg?1783906471"", 1)","FIN","0486","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF1","Uncommon","Legendary Creature — Human Knight // Legendary Creature — Demon","BR","No",0,0,0,0,"Near Mint (NM)",1.18,12.26,""
"Garland, Royal Kidnapper","","=IMAGE(""https://cards.scryfall.io/normal/front/b/8/b81c3f08-9319-4265-a75b-5b12b09aba89.jpg?1783904658"", 1)","FIC","0442","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF1","Rare","Legendary Creature — Human Knight","BU","No",0,0,0,0,"Near Mint (NM)",6.0,6.42,""
"Garland, Royal Kidnapper // Garland, Royal Kidnapper","","=IMAGE(""https://cards.scryfall.io/normal/front/9/a/9a9780d1-05ac-4c72-8b0e-db6af4609efb.jpg?1783904671"", 1)","AFIC","0001","Basic/Non-foil","Non-Foil, Traditional Foil","Art Card","FF1","Common","Card // Card","Colorless","No",0,0,0,0,"Near Mint (NM)","","",""
"Garnet, Princess of Alexandria","","=IMAGE(""https://cards.scryfall.io/normal/front/b/8/b883df14-8d7b-4f6a-9a6a-2f71f5b6ddda.jpg?1783906571"", 1)","FIN","0222","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF9","Uncommon","Legendary Creature — Human Noble Cleric","GW","No",0,0,0,0,"Near Mint (NM)",0.26,0.29,""
"Garnet, Princess of Alexandria","","=IMAGE(""https://cards.scryfall.io/normal/front/6/1/6136d21e-e6fa-4aaf-9eca-3847fa2c65fd.jpg?1783906466"", 1)","FIN","0487","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF9","Uncommon","Legendary Creature — Human Noble Cleric","GW","No",0,0,0,0,"Near Mint (NM)",3.5,27.6,""
"Gatta and Luzzu","","=IMAGE(""https://cards.scryfall.io/normal/front/4/7/4742c222-1f29-4e1a-a545-798d175255ca.jpg?1783906368"", 1)","FIC","0019","Surge Foil","Surge Foil","Standard","FF10","Rare","Legendary Creature — Human Soldier","W","No",0,0,0,0,"Near Mint (NM)",0.23,"",""
"Gatta and Luzzu","","=IMAGE(""https://cards.scryfall.io/normal/front/f/f/ff6b510b-a425-48c8-b67e-276fba2f0ef0.jpg?1783906328"", 1)","FIC","0134","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF10","Rare","Legendary Creature — Human Soldier","W","No",0,0,0,0,"Near Mint (NM)",0.47,2.76,""
"Gau, Feral Youth","","=IMAGE(""https://cards.scryfall.io/normal/front/8/9/89175ce1-0746-4ba1-970e-617d134b0527.jpg?1783906357"", 1)","FIC","0055","Surge Foil","Surge Foil","Standard","FF6","Rare","Legendary Creature — Human Berserker","R","No",0,0,0,0,"Near Mint (NM)",0.2,"",""
"Gau, Feral Youth","","=IMAGE(""https://cards.scryfall.io/normal/front/c/7/c7f4920b-cbf6-407c-ae02-6f6cc047187d.jpg?1783906321"", 1)","FIC","0152","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF6","Rare","Legendary Creature — Human Berserker","R","No",0,0,0,0,"Near Mint (NM)",0.43,2.26,""
